,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,4252,1,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,1,24.1,1066,0
1,5806,0,0,0,0,44,1,0,1,0,2,2,0,2,0,0,1,1,88.15,2901,0
2,5577,0,1,1,0,38,1,2,1,0,0,0,0,0,0,0,1,0,74.95,2126,1
3,4243,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,2,55.9,1733,0
4,1270,1,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,2,53.45,308,0
5,2559,0,0,1,0,70,0,1,0,2,0,2,2,0,2,2,1,0,49.85,2507,0
6,1472,0,0,0,0,33,1,2,1,2,0,0,0,0,2,0,1,2,90.65,2219,0
7,2591,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,24.9,1756,0
8,5363,1,0,0,0,39,0,1,0,0,0,2,2,0,0,1,0,3,35.55,489,0
9,4841,1,1,0,0,55,1,2,1,2,2,2,2,2,2,0,1,2,116.5,4419,0
10,2723,1,0,1,1,52,1,0,0,0,2,2,2,2,0,1,1,2,68.75,2589,0
11,1224,0,0,1,1,30,0,1,0,0,0,0,2,2,2,0,0,1,51.2,858,1
12,1352,1,1,1,0,60,1,2,1,0,0,0,2,2,2,0,1,2,99.0,4229,0
13,1483,1,0,1,1,50,1,2,0,0,0,2,0,0,0,1,0,0,54.9,1942,0
14,1617,0,0,0,0,32,1,2,1,2,0,2,2,2,2,1,1,0,109.55,2674,0
15,1043,1,0,1,0,51,1,2,1,0,2,2,0,2,2,1,1,0,106.8,3911,0
16,1456,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,3,74.3,4916,0
17,3068,0,0,1,1,69,1,2,2,1,1,1,1,1,1,2,1,0,25.6,995,0
18,5239,0,0,1,1,42,1,2,1,0,0,0,0,2,2,0,1,2,94.2,3065,1
19,349,1,0,1,0,14,0,1,0,0,0,0,0,2,2,0,0,2,46.35,4553,1
20,267,1,0,0,1,52,1,2,2,1,1,1,1,1,1,2,0,1,25.6,519,0
21,2795,1,0,1,0,62,1,2,1,0,0,2,2,2,2,2,1,0,107.6,4695,0
